,SNo,Date,RegionCode,RegionName,ProvinceCode,ProvinceName,ProvinceAbbreviation,Latitude,Longitude,TotalPositiveCases
30517,30517,2020-10-03T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,837
30518,30518,2020-10-03T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1926
30519,30519,2020-10-03T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1081
7811,7811,2020-04-25T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,706
7810,7810,2020-04-25T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1253
7809,7809,2020-04-25T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,633
7808,7808,2020-04-25T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,240
30665,30665,2020-10-04T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,661
30666,30666,2020-10-04T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,841
30667,30667,2020-10-04T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1943
30668,30668,2020-10-04T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1089
7683,7683,2020-04-24T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,687
7682,7682,2020-04-24T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1244
7681,7681,2020-04-24T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,631
7680,7680,2020-04-24T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,241
30814,30814,2020-10-05T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,671
30815,30815,2020-10-05T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,853
30816,30816,2020-10-05T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1947
30817,30817,2020-10-05T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1092
7555,7555,2020-04-23T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,677
7554,7554,2020-04-23T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1236
7553,7553,2020-04-23T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,631
30368,30368,2020-10-02T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,830
30367,30367,2020-10-02T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,650
8064,8064,2020-04-27T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,242
8065,8065,2020-04-27T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,635
29771,29771,2020-09-28T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,625
29772,29772,2020-09-28T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,814
29773,29773,2020-09-28T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1868
29774,29774,2020-09-28T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1037
8451,8451,2020-04-30T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,757
8450,8450,2020-04-30T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1292
8449,8449,2020-04-30T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,638
8448,8448,2020-04-30T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,243
29920,29920,2020-09-29T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,625
29921,29921,2020-09-29T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,815
